id	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
174		0.038	0.04	0.08	0.25	0.32	0.06	0.06	0	0.018	0.065	0.08	0.04	0.05	0.1	0.25	0.64	0.642	0.446	0.018	
175	0																				
176			0.011				0														
177	0.2	0.2	0.2	0.16	0.2	0.2	0.1	0.1		0.12		0.12	0		0.01						
178	0.2	0.1	0.1	0.08	0.1	0.075	0.24	0.242	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.05			0.02	0.03	
179		0.1											0.04	0.4	0.06	0.1	0.1	0.1	0.31	0.2	
180		0.15	0.1		0																
181	0																				
182		0.04				0.1			0.1	0.03	0.01	0.2		0.05	0.1	0.02	0.03			0.08	
183	0.2	0.15	0.04	0.025	0.05	0.05			0.02		0.08	0.2	0.08	0.03		0.02	0.03	0.02	0.07	0.3	
184	0.2	0.1	0.1	0.12	0.1	0.05		0.2	0.2	0.02	0.02	0.17		0.04	0.07	0.09	0.13	0.1	0.15	0.06	
185														0							
186				0.05		0.05	0.05						0.3	0.25	0.3	0.03	0.11	0.09	0.108	0.08	
187		0.05									0.3	0.0556	0.0556		0.1	0.03		0.1	0.1	0.1	
188	0.4	0.4	0.3	0.32	0.33	0.38	0.4		0.3	0.3	0.5	0.3	0.5	1	1.5	3	1.5	1.8		1.5	
189		0.141	0	0.03	0.05	0.02	0.08	0.1	0.034	0.08	0.08	0.1			0.01	0.01	0.01	0.015	0.035	0.04	
190		0.15	0.15	0.05						0.2	0.02	0.1			0.1						
191													0.1	0.1	0.12	0.15	0.05	0.2	0.25	0.36	
192				0.055															0		
193	0.3	0.2	0.1	0.1	0	0.05	0.05	0.06	0.06	0.03	0.08	0.09	0.01								
194		0.05												0.2	0.4	0.5	0.8	0.8	0.8	0.8	
195						0.05			0.025									0.05	0.070014		
196		0.2			0.06				0.05												
197			0.069												0.08	0.08	0.1	0.08	0.08	0.06	
198		0.11	0.06	0.06	0.072	0.05	0.05	0.08	0.01	0.01		0.07	0.06	0.1	0.1	0.05	0.05	0.055	0.21	0.05	
199				0.16	0.1	0.12		0.025	0.04	0.02	0.05			0.025			0.025	0.025	0.025		
200	0	0.05	0.02		0.1	0.07	0.07	0.1	0.1	0.11	0.07	0.06	0.01	0.01	0.01		0.02		0.02	0.04	
201		0.086																			
202		0.05						0.026	0.035	0.071	0.063	0.1	0.025	0.15	0.06	0.16	0.053	0.05	0.05	0.056338	
203		0.02679	0.02													0.05	0.03	0.03	0.1	0.4	
204		0.1															0				
205			0.06	0.06	0.08	0.06	0.06	0.06											0.03	0.03	
206			0		0.03	0.03		0.03	0.04												
207							0														
208	0	0.125	0.1	0.1	0.05	0.1	0.12	0.1	0.05	0.1	0.1	0.04	0.08	0.2	0.25	0.05		0.1			
209			0.04				0.09346	0.05	0.1	0.1	0.1	0.2	0.2							0.02	
210	0.0625	0.1	0.035																0.042	0.046	
211	0	0.2													0.02						
212											0		0.1	0.02		0.02	0		0.02		
213		0.47	0.04		0.2	0.15			0												
214		0.0869																	0.1		
215																					
216		0					0.058	0.078	0.023	0.02											
217		0.1													0.015	0.02	0.015				
218		0.075				0.05				0.06								0.065		0.065	
219		0.3	0.12	0.2	0.18	0.18	0.02	0.05		0.03		0.01		0.13	0.03	0.13	0.1	0.11	0.12	0.13	
