id	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
132	11.53	13.97	37.73	3.9	3.99	2.33	1.16	1.46	1.9	7.86	2.59	4.86	7	7	7	7	6.32	7.64	5.44	4.78	3.43
133	6.67	7	17.11	11.06	10.88	5.25	4.06	3.42	4.9	12.5	3.9	7.95	7.4	3.3	4.03	3.44	5.97	27.7	14.75	4.95	2.9
134	11.61	9.12	15.7	10.58	8.14	6.97	4.23	2.92	4.24	13.88	3.09	7.72	13.85	5.66	4.49	5.31	11.87	22.63	13.26	10.15	5.12
135	6.61	6.51	10.94	8.3	4.87	4.59	3.4	3.01	6.26	19.45	4.7	12.17	10.85	8.15	7.61	8.03	16.98	12.65	10.4	9.54	4.67
136	4.89	5.19	8.2	5.41	4.13	2.29	2.6	1.63	2.19	8.36	4.19	9.25	8.04	6.33	5.24	5.85	8.73	14.18	12.19	8.54	5.61
137	4.53	7.32	9.79	7.89	5.97	4.73	3.7	3.09	3.68	7.68	3.18	7.36	7.82	5.16	4.73	4.55	5.94	14.64	8.48	4.78	2.53
138	9.57	7.11	14.44	9.9	7.6	6.84	3.22	2.9	4.24	31.65	6.95	17.1	12.82	6.17	8.06	7.7	13.22	14.96	12.59	7.15	4.26
139	7.41	5.52	10.91	5.76	5.2	4.6	4.06	2.8	3.82	8.8	8.32	15.56	29.68	20.29	9.96	11.18	15.22	38.86	12.71	12.89	5.12
140	11.42	9	12.39	8.68	7.92	4.09	3.56	4.34	25.34	73.5	18.2	39.04	40.9	37.3	35.4	20.14	20.4	27.12	33	66	40.66
141	10.82	9.4	13.16	7	5.42	5.17	4.25	2.95	4.16	13.96	3.28	14.17	10.05	5.05	5.56	6.45	8.64	10.92	9.7	5.58	3.74
142	6.66	4.86	8.28	5.33	3.7	2.57	2.79	1.96	2.85	9.73	3	7.02	6.34	5.16	4.91	3.83	5.12	8.3	7.62	5.4	3.43
143	5.54	5.54	11.31	6.93	5.42	7.11	4.81	4.34	5.29	17.85	3.12	6.86	5.92	3.21	2.95	3.8	5.27	6.4	5.36	4.58	2.13
144	5.24	5.13	7.45	5.27	4.75	4.02	2.91	2.28	2.88	6.82	2.08	5.32	3.94	3.81	4.34	5.19	4.93	8.41	10.73	4.72	3.05
145	6.69	6.19	9.49	7.91	5.43	4.49	3.16	2.84	2.81	7.66	2.79	6.87	7.29	6.68	6.37	9.55	12.09	19.6	15.6	17.02	6
146	6	6.73	13.21	9.96	9.65	11.5	8.62	5.76	7.74	18.71	5	18.85	37.15	35.89	31.9	30.8	26.83	24.76	22.44	24	17.66
147	8.9	9.19	13.95	11.27	7.31	5.24	3.98	4.26	5.69	16.15	6.83	15.35	12.82	7.57	9.34	11.26	18.71	22.51	15.9	9.49	7.04
148	8.18	6.41	13.58	14.24	13.69	8.45	4.35	3.62	3.04	19.01	3.73	11.29	8.76	5.17	6.76	9.77	6.85	12.43	11.85	14.73	6.28
149	6.58	4.78	7.62	3.05	4.06	3.57	2.38	2.15	2.61	6.12	2.34	4.25	3.99	2.64	2.13	2.31	4.06	7.44	7.77	5.26	2.04
150	5.97	10.29	14	10.87	7.8	5.05	5.53	2.58	2.82	15.15	3.98	6.77	6.56	5.76	4.69	6.02	10.22	19.69	21.3	17.93	11.57
151	6.45	6.46	12.67	8.36	5.78	3.52	2.37	1.94	2.54	7.94	3.79	12.46	12.46	8.79	13.72	12.52	11.04	21.25	14.88	7	2.35
152	7.81	6.38	13.76	7.73	5.86	5.24	3.28	3.81	4.63	9.6	4.46	17.87	11.64	4.84	4.78	5.17	6.7	7.24	5.97	4.67	3.35
153	9.46	17.12	28.49	10.99	6.81	4.08	3.8	3.05	3.21	10.12	4.85	7.73	15.27	9.27	10.26	13.98	15.91	25.91	19.65	15.63	7.6
154	5.96	5.16	10.47	6.19	4.39	2.59	1.5	1.04	0.68	0.68	2.67	7.25	8.83	5.02	4.78	8.12	16.93	19.98	6.76	5.75	2.67
155	6.48	7.96	14.28	9.44	6.71	4.44	3.99	3.15	3.76	9.06	6.53	10.65	8.66	6.72	6.11	5.29	8.12	12.65	10.55	5.21	2.54
156	16.38	14.72	28.7	15.3	12.22	7.79	5.7	4.1	7.19	24.36	8.28	33.99	80.2	85.98	34.28	22.42	36.95	36.5	45.5	65.67	53.96
157	6.37	5.87	9.46	8.15	6.97	6.67	4.35	3.07	3.66	17.3	12.19	26.33	17.14	7.33	6.26	6.94	10.59	10.37	10	11.76	10.16
158	10.12	9.58	14.18	10.78	10.24	8.46	4.44	2.17	2.53	7.22	2.76	9.08	5.53	3.92	3.51	4.01	5.84	9.96	7.94	6.31	3.7
